"Name","Delay(1/1000)","Delay(1/100)","Delay(1/60)","File Name"
"Frame1","620","62","38","gondolacursor0000.png"
"Frame2","120","12","7","gondolacursor0001.png"
"Frame3","620","62","38","gondolacursor0002.png"
"Frame4","120","12","7","gondolacursor0003.png"
"Frame5","120","12","7","gondolacursor0004.png"
"Frame6","120","12","7","gondolacursor0005.png"
"Frame7","120","12","7","gondolacursor0006.png"
"Frame8","60","6","3","gondolacursor0007.png"
"Frame9","120","12","7","gondolacursor0008.png"
"Frame10","370","37","23","gondolacursor0009.png"
"Frame11","120","12","7","gondolacursor0010.png"
"Frame12","120","12","7","gondolacursor0011.png"
"Frame13","120","12","7","gondolacursor0012.png"
"Frame14","120","12","7","gondolacursor0013.png"
